Date,Pecos_flow,SJ_East_flow,SJ_West_flow,Plains_N_flow,Plains_S_flow,Socal regions inflow:,Socal_Ehrenberg_inflow,Socal_Topock_inflow,,socal_val,El Paso Permian INDEX_VAL,El Paso SanJuan INDEX_VAL
8/16/2008,1062706,404251,2122699,0,438508,,749000,528000,,7.36,6.875,6.65
8/17/2008,1088723,396037,2147664,0,415772,,755000,529000,,7.36,6.875,6.65
8/19/2008,1004584,81034,2176000,0,252215,,712000,539000,,7.385,6.96,6.93
8/20/2008,978892,99085,2106646,0,287453,,681000,523000,,7.395,7.075,7.12
8/21/2008,1025507,145213,2200000,0,308375,,754000,538000,,7.545,7.235,7.21
8/22/2008,1098210,312667,2200000,0,439362,,851000,534000,,7.47,6.945,6.815
8/23/2008,1006074,298454,2200000,0,418758,,818000,543000,,7.335,6.73,6.59
8/24/2008,1037432,334977,2123451,0,447168,,853000,540000,,7.335,6.73,6.59
8/25/2008,1012906,313663,2128486,0,439098,,794000,544000,,7.335,6.73,6.59
8/26/2008,1020679,368817,2100000,0,447745,,852000,542000,,7.24,6.71,6.345
8/27/2008,1083256,406200,2100000,0,446303,,892000,525000,,7.545,6.97,6.55
9/1/2008,934591,410078,2237628,0,382045,,923000,523000,,6.955,6.405,6.235
9/2/2008,1027837,438628,2212628,0,441224,,886000,532000,,6.955,6.405,6.235
9/3/2008,1084506,382934,2213629,2014,343125,,975000,545000,,6.45,5.765,5.775
9/4/2008,1095465,430105,2237629,161,406963,,983000,535000,,6.305,5.39,5.3
9/5/2008,1106352,462591,2237628,0,436176,,1018000,528000,,6.38,5.44,5.29
9/6/2008,885344,302980,2237628,7165,283362,,901000,493000,,6.405,5.615,5.49
9/7/2008,954567,353590,2237629,5317,335128,,948000,507000,,6.405,5.615,5.49
9/8/2008,975762,381350,2237628,39793,351397,,900000,534000,,6.405,5.615,5.49
9/9/2008,1040039,430947,2220628,41726,335166,,965000,544000,,6.74,5.955,5.885
9/10/2008,1106746,504361,2205628,38070,411831,,1000000,548000,,6.22,5.51,5.475
9/11/2008,907642,476942,2212628,34998,414615,,811000,543000,,6.495,5.965,5.835
9/12/2008,693939,322769,2237628,692,303809,,872000,543000,,6.45,6.075,5.675
